,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-13,14.589099884033203,6349.89990234375,477.4939880371094,94.07559967041016,0.5346630215644836,14.589099884033203,6349.89990234375,477.4939880371094,94.07559967041016,0.5346630215644836,15.718400001525879,6631.66015625,501.9049987792969,100.947998046875,0.5646420121192932,14.026200294494629,6285.6298828125,459.0039978027344,91.28849792480469,0.5170360207557678,15.296899795532227,6596.8798828125,498.01800537109375,100.79900360107422,0.56284499168396,97415904,5052349952,2080130048,360492992,359864992
2018-06-14,14.895299911499023,6675.35009765625,519.7420043945312,101.15399932861328,0.5613059997558594,14.895299911499023,6675.35009765625,519.7420043945312,101.15399932861328,0.5613059997558594,15.025899887084961,6707.14013671875,523.5449829101562,102.41699981689453,0.5705900192260742,14.140000343322754,6334.4599609375,467.46600341796875,93.61160278320312,0.5266140103340149,14.640299797058105,6342.75,478.3810119628906,93.99369812011719,0.5354350209236145,80329504,5138710016,2458650112,367742016,379824992
2018-06-15,15.048100471496582,6456.580078125,491.0039978027344,96.6760025024414,0.5377069711685181,15.048100471496582,6456.580078125,491.0039978027344,96.6760025024414,0.5377069711685181,15.646900177001953,6681.080078125,521.3049926757812,101.11499786376953,0.5600619912147522,14.691100120544434,6433.8701171875,487.468994140625,95.59950256347656,0.5343009829521179,14.881999969482422,6674.080078125,520.47998046875,101.11499786376953,0.5600619912147522,79159296,3955389952,1808269952,293284992,241684992
2018-06-16,15.809200286865234,6550.16015625,499.6419982910156,97.5770034790039,0.5347840189933777,15.809200286865234,6550.16015625,499.6419982910156,97.5770034790039,0.5347840189933777,15.981399536132812,6592.490234375,503.2229919433594,98.34639739990234,0.5392929911613464,14.936300277709961,6402.2900390625,488.85101318359375,93.97059631347656,0.5235880017280579,14.936300277709961,6455.4501953125,490.41400146484375,96.57839965820312,0.5371059775352478,81354704,3194170112,1314109952,259324992,202682000
2018-06-17,16.578800201416016,6499.27001953125,500.447998046875,96.10260009765625,0.5282160043716431,16.578800201416016,6499.27001953125,500.447998046875,96.10260009765625,0.5282160043716431,17.23259925842285,6589.10986328125,507.6409912109375,98.6572036743164,0.5388810038566589,15.764100074768066,6499.27001953125,498.64801025390625,95.53299713134766,0.5252150297164917,15.779000282287598,6545.52978515625,499.4599914550781,97.71759796142578,0.535535991191864,107346000,3104019968,1264870016,242331008,166028000
2018-06-18,16.87969970703125,6734.81982421875,518.8909912109375,98.81900024414062,0.5374950170516968,16.87969970703125,6734.81982421875,518.8909912109375,98.81900024414062,0.5374950170516968,17.18630027770996,6781.14013671875,521.7960205078125,99.81340026855469,0.547793984413147,16.221200942993164,6446.68017578125,494.0660095214844,93.91000366210938,0.5118330121040344,16.621700286865234,6510.06982421875,499.38299560546875,95.77349853515625,0.5288199782371521,106776000,4039200000,1513869952,282937984,276527008
2018-06-19,16.699600219726562,6769.93994140625,537.9569702148438,98.83769989013672,0.5496209859848022,16.699600219726562,6769.93994140625,537.9569702148438,98.83769989013672,0.5496209859848022,16.936800003051758,6822.5,542.35302734375,100.81999969482422,0.5580589771270752,16.20800018310547,6709.919921875,516.31201171875,97.39830017089844,0.5345950126647949,16.780099868774414,6742.39013671875,519.0230102539062,98.72730255126953,0.5386139750480652,80738096,4057029888,1726569984,284982016,255400000
2018-06-20,16.061899185180664,6776.5498046875,536.2680053710938,97.99349975585938,0.5392860174179077,16.061899185180664,6776.5498046875,536.2680053710938,97.99349975585938,0.5392860174179077,16.86319923400879,6821.56005859375,541.0150146484375,99.20459747314453,0.5505539774894714,15.741100311279297,6611.8798828125,519.3690185546875,95.96710205078125,0.525858998298645,16.760799407958984,6770.759765625,538.5059814453125,98.956298828125,0.5497379899024963,65190300,3888640000,1596290048,261392000,256920000
2018-06-21,17.053300857543945,6729.740234375,527.3670043945312,96.92549896240234,0.5347750186920166,17.053300857543945,6729.740234375,527.3670043945312,96.92549896240234,0.5347750186920166,17.268299102783203,6810.93994140625,543.7169799804688,98.86949920654297,0.5470070242881775,15.916500091552734,6715.169921875,524.2589721679688,96.36489868164062,0.5306969881057739,16.072200775146484,6780.08984375,536.447021484375,97.8812026977539,0.5392280220985413,122980000,3529129984,1462070016,261544000,194312000
2018-06-22,15.593899726867676,6083.68994140625,465.8169860839844,85.07589721679688,0.4869470000267029,15.593899726867676,6083.68994140625,465.8169860839844,85.07589721679688,0.4869470000267029,17.24370002746582,6747.080078125,527.1939697265625,97.12370300292969,0.535090982913971,15.2608003616333,6006.60009765625,456.87701416015625,81.3958969116211,0.4772860109806061,17.071399688720703,6737.8798828125,527.1939697265625,96.94110107421875,0.535090982913971,113751000,5079810048,2226030080,458636992,339428992
